CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
2403,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2407,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2416,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2517,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2525,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2538,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2539,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2547,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2552,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2553,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
